Date, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66
2000-01-31,3.7600,3.8272,3.8204,3.8452,3.6545,3.6591,3.9000,3.7685,3.7610,3.6064,3.6103,3.8031,3.7849,3.7576,3.7576,3.5723,3.5723,3.7398,3.7343,3.7343,3.5584,3.5723,3.7304,3.7204,3.5598,3.8297,3.8570,3.9218,3.6646,3.9087,3.9108,3.9164,3.7208,3.7386,3.9115,3.8983,3.9039,3.4540,3.6373,3.7765,3.7586,3.8050,3.6310,3.8516,3.7879,3.8401,3.4054,3.5443,3.7407,3.7845,3.7229,3.8315,3.7845,3.8185,2.7538,3.3999,3.6629,3.4549,3.7039,3.8741,3.8741,3.8769,3.6061,3.7829,3.7876,3.7620
2000-02-29,.9415,1.6370,.6940,.7777,.7443,1.2907,.9213,.8269,.8307,.7796,1.4433,.7468,1.7955,.8852,.6912,.7581,1.4256,.7954,.8551,.7319,.7069,1.3743,.7376,.8017,.6091,.5023,.4595,.4096,.4867,.4805,.3460,.3501,.6288,.9250,.4350,.3547,.3579,.9034,1.5538,.5812,.4265,.3195,.3373,.3924,.3965,.4460,.4091,.4105,.3202,.3795,.4420,.4703,.4292,.4483,.5213,.4743,.4026,.4632,.3982,.4696,.4256,.4863,.3868,.4062,.3864,.4202
2000-03-31,.3786,.4533,.3001,.3429,.2861,.3053,.3606,.2699,.2599,.2806,.2651,.2732,.1845,.2699,.2799,.2892,.2658,.2838,.2966,.2635,.3125,.3788,.3115,.3309,.2291,.1359,.0935,.0523,.1747,.1759,.0458,.1026,.2303,.2436,.1039,.0455,.0688,.3430,.4223,.1639,.0851,.0380,.0418,.0415,.0433,.0501,.0594,.0549,.0407,.0403,.0544,.0536,.0489,.0508,.1092,.0688,.0475,.0647,.0468,.0507,.0428,.0537,.0461,.0428,.0402,.0462
2000-04-30,.3827,.7800,.4766,.4900,.3825,.8166,.4387,.4775,.4836,.4417,1.1924,.4522,1.4987,.4986,.4259,.4317,1.0954,.4281,.4661,.3958,.4828,1.1813,.4805,.5396,.4094,.3395,.2829,.2646,.3036,.3493,.2293,.2449,.4061,.8910,.4015,.2454,.2953,.3854,.7596,.4681,.3555,.3159,.2036,.3523,.3028,.4342,.3328,.3619,.2712,.3751,.5142,.5202,.4214,.4816,.3822,.4342,.3327,.4246,.2699,.4796,.3635,.5408,.2623,.3532,.3121,.4037
2000-05-31,1.1891,1.3898,.5356,.5415,1.3181,1.5626,1.2784,.7618,.5318,1.5087,2.0704,.5638,2.3609,.5748,.5504,1.4930,2.0663,.5477,.6273,.5016,1.3151,1.9518,.6058,.6489,.4231,.3950,.3703,.3560,.3346,.3932,.3346,.3423,.6632,1.3958,.4221,.3463,.3577,.9604,1.2120,.5392,.4297,.4306,.2535,.3831,.3471,.4045,.3742,.4097,.3387,.3962,.3837,.4391,.4026,.4201,.3791,.4116,.3590,.4031,.3049,.4211,.3761,.4420,.3016,.3852,.3573,.4014
2000-06-30,1.3872,1.4230,2.4930,.2175,1.5817,1.5729,1.3947,1.6532,.2649,1.5826,1.5266,2.4370,1.4440,.2497,2.4255,.8753,.9701,1.8265,.2495,1.7386,.6643,.8051,1.7349,.2451,.9628,1.9823,2.0004,1.9441,1.4268,2.0508,1.7992,1.8531,1.4652,1.4091,1.8865,1.7007,1.7568,1.2307,1.2379,1.9203,1.7564,2.1309,1.5478,2.0987,2.1779,2.1891,1.7534,2.1618,2.1222,2.2800,1.5730,2.3088,2.3851,2.3660,1.5839,2.2569,2.2711,2.2549,1.5333,2.1601,2.0750,2.1606,1.7415,2.2633,2.2069,2.3610
2000-07-31,4.7203,4.4895,3.2162,.7662,4.8320,4.8103,4.4703,5.5458,.9303,4.9267,4.8429,2.5868,4.6598,.7546,1.9616,2.7056,2.7067,3.6777,.7424,1.8129,2.3153,2.7085,3.5423,.9368,1.6798,1.4428,1.2489,1.2385,1.2661,1.4318,1.0703,1.1113,5.1035,6.0495,1.2434,1.0347,1.0950,4.5872,4.2115,1.3310,1.1284,1.2778,.9586,1.3520,1.2127,1.4960,1.2825,1.3449,1.1808,1.3978,1.2170,1.6062,1.3225,1.4641,1.0279,1.2031,1.1274,1.2013,1.0700,1.5372,1.2865,1.5932,.9788,1.2311,1.1411,1.2755
2000-08-31,4.1116,6.2060,.6731,2.0073,5.6992,6.5402,5.4338,2.7804,2.2507,6.2583,6.1577,.7890,6.2880,2.0914,.7639,4.8101,4.5304,.7811,2.0713,.5334,4.6458,5.7441,.9885,2.1163,.8077,.7962,.6884,.5796,.7238,.6151,.5365,.5060,2.3653,6.3901,.5983,.5321,.5386,2.3038,6.2579,.6810,.6047,.8247,.4285,.7594,.5017,.7512,.8142,.7810,.5373,.7522,.7399,.7877,.6138,.6933,.8148,.7313,.3806,.6366,.4382,.6653,.4147,.7568,.4023,.5762,.5053,.6058
2000-09-30,4.3107,6.4388,2.5080,2.3055,5.4965,7.2813,5.8429,3.3989,2.2269,6.9439,7.3782,2.3006,7.2521,2.3525,1.8641,6.6083,6.3939,2.3535,2.4328,1.7104,5.4897,7.7333,2.3758,2.5386,1.9628,1.7208,1.5892,1.4723,1.6449,1.6419,1.3990,1.4519,3.7293,5.0853,1.5450,1.3846,1.4330,3.2636,5.4305,1.6346,1.5186,1.7224,1.3646,1.7393,1.6261,1.9078,1.6228,1.7575,1.6662,1.8856,1.7068,1.9913,1.7704,1.8736,1.5366,1.7424,1.6324,1.7065,1.3660,1.8189,1.6395,1.9210,1.3240,1.6934,1.6200,1.7792
2000-10-31,.4141,.8528,.4681,1.3460,.6066,1.6940,.9858,.4161,.9965,1.7039,6.8853,.5621,8.9949,1.9314,.4910,4.9807,12.8028,.5735,2.1989,.5412,2.0343,10.5891,.7780,2.9897,.9855,.8729,.8186,.7191,.7842,.7118,.7452,.7142,.7116,.7296,.7711,.7678,.7676,.5421,.5639,.8434,.8440,.9332,.6739,.8536,.7484,.8479,.7988,.8280,.7424,.8048,.8557,.8531,.7624,.8091,.7616,.7485,.6332,.7220,.6407,.7899,.6881,.8452,.5868,.7303,.7165,.7399
2000-11-30,.5296,.8250,.4350,.6831,.5100,.7709,.5804,.3921,.5050,.7022,1.3638,.4428,4.4603,.6972,.3342,.9570,1.5931,.4216,.7558,.3462,.8070,1.3619,.5462,1.0053,.6387,.4767,.4074,.3219,.4832,.3349,.2879,.2744,.6735,.9236,.4787,.3186,.3411,.4873,.6559,.5682,.3986,.4060,.3371,.4484,.3867,.5165,.3885,.3807,.3064,.3984,.5282,.5324,.4310,.4892,.4800,.4090,.3008,.4155,.2993,.4363,.3752,.5136,.2524,.3623,.3441,.3926
2000-12-31,.0752,.0706,.0508,.0863,.0637,.0743,.0555,.0484,.0646,.1839,.2435,.0681,.0728,.1380,.0427,.1168,.1173,.0468,.0996,.0487,.1584,.1837,.0667,.2000,.1152,.0530,.0429,.0266,.0675,.0475,.0297,.0380,.0838,.0820,.0535,.0325,.0369,.0656,.0460,.0564,.0372,.0382,.0345,.0420,.0322,.0431,.0476,.0413,.0284,.0323,.0579,.0440,.0329,.0394,.0800,.0444,.0229,.0375,.0324,.0399,.0289,.0470,.0257,.0276,.0271,.0291
2001-01-31,.5000,.9753,.5002,.5299,.4444,.8931,.5416,.4982,.5017,.4937,.9183,.4748,.5229,.4966,.4142,.4481,.9016,.4416,.4713,.4379,.3938,.8570,.4172,.4549,.3387,.2767,.2178,.2941,.2749,.4028,.2019,.3262,.4108,.7689,.4184,.1898,.2555,.3706,.7876,.3326,.1768,.0030,.0028,.0033,.0026,.0035,.0139,.0078,.0024,.0026,.0046,.0036,.0027,.0032,.0135,.0053,.0021,.0042,.0026,.0031,.0023,.0037,.0022,.0023,.0022,.0025
2001-02-28,.0685,.0641,.0406,.0474,.0578,.0458,.0630,.0474,.0471,.0611,.0534,.0344,.0554,.0492,.0305,.0473,.0445,.0332,.0411,.0353,.0412,.0300,.0311,.0354,.0350,.0310,.0098,.0157,.0253,.0239,.0056,.0155,.0527,.0375,.0237,.0051,.0076,.0527,.0554,.0161,.0038,.0003,.0061,.0174,.0002,.0003,.0008,.0005,.0002,.0002,.0004,.0003,.0002,.0003,.0024,.0007,.0002,.0005,.0002,.0003,.0002,.0003,.0002,.0002,.0002,.0002
2001-03-31,.2726,.4918,.3832,.3670,.2750,.5382,.3491,.3676,.3665,.2654,.5374,.3805,.5214,.3656,.3784,.2816,.6641,.3605,.3532,.3729,.3102,.6999,.3726,.3862,.3429,.4157,.3933,.3959,.3045,.3960,.3471,.3638,.3122,.6619,.3772,.3362,.3503,.2805,.4936,.3918,.3417,.3877,.2055,.3769,.3105,.3532,.2439,.3247,.2805,.2953,.2417,.3122,.2571,.2889,.1881,.2234,.1891,.2069,.1086,.2451,.2017,.2896,.0943,.2346,.2444,.2255
