Date, basin_cfs, basin_actet, basin_swrad, basin_soil_moist
2005-05-31, 1.074E+05, 1.712E+00, 8.743E+03, 3.815E+00
2005-06-30, 1.767E+05, 1.756E+00, 7.003E+03, 4.243E+00
2005-07-31, 1.045E+05, 1.527E+00, 8.113E+03, 4.030E+00
2005-08-31, 2.520E+05, 2.626E+00, 1.051E+04, 4.367E+00
2005-09-30, 1.114E+05, 2.631E+00, 1.389E+04, 3.922E+00
2005-10-31, 8.394E+04, 1.344E+00, 1.826E+04, 3.923E+00
2005-11-30, 3.991E+04, 4.310E-01, 2.027E+04, 3.804E+00
2005-12-31, 2.257E+04, 8.509E-02, 2.215E+04, 3.931E+00
2006-01-31, 1.619E+04, 9.634E-02, 2.157E+04, 3.931E+00
2006-02-28, 1.340E+04, 1.618E-01, 1.709E+04, 3.550E+00
2006-03-31, 9.893E+03, 7.678E-02, 1.587E+04, 3.931E+00
2006-04-30, 1.643E+04, 2.296E-01, 1.147E+04, 3.808E+00
2006-05-31, 3.542E+04, 5.548E-01, 8.808E+03, 3.972E+00
2006-06-30, 1.043E+05, 1.241E+00, 7.054E+03, 4.245E+00
2006-07-31, 2.690E+05, 2.348E+00, 7.960E+03, 4.845E+00
2006-08-31, 1.099E+05, 2.277E+00, 1.056E+04, 4.268E+00
2006-09-30, 6.672E+04, 1.306E+00, 1.390E+04, 3.877E+00
2006-10-31, 1.091E+05, 1.104E+00, 1.821E+04, 4.015E+00
2006-11-30, 2.530E+04, 2.104E-01, 2.044E+04, 3.853E+00
2006-12-31, 2.269E+04, 1.371E-01, 2.220E+04, 3.981E+00
2007-01-31, 1.355E+04, 1.457E-01, 2.141E+04, 3.981E+00
2007-02-28, 2.803E+04, 4.103E-01, 1.725E+04, 3.596E+00
2007-03-31, 1.395E+04, 2.042E-01, 1.569E+04, 3.981E+00
2007-04-30, 9.258E+03, 1.353E-01, 1.147E+04, 3.853E+00
2007-05-31, 1.391E+04, 3.903E-01, 8.904E+03, 3.986E+00
2007-06-30, 1.206E+05, 1.392E+00, 7.273E+03, 4.343E+00
2007-07-31, 6.795E+04, 1.751E+00, 8.052E+03, 4.500E+00
2007-08-31, 4.569E+04, 1.476E+00, 1.081E+04, 4.158E+00
2007-09-30, 4.553E+04, 6.311E-01, 1.392E+04, 3.882E+00
2007-10-31, 1.601E+04, 1.914E-01, 1.827E+04, 3.982E+00
2007-11-30, 1.826E+04, 1.814E-01, 2.049E+04, 3.854E+00
2007-12-31, 8.876E+03, 9.032E-02, 2.212E+04, 3.982E+00
2008-01-31, 5.741E+03, 8.269E-02, 2.160E+04, 3.982E+00
2008-02-29, 9.243E+03, 2.135E-01, 1.770E+04, 3.726E+00
2008-03-31, 2.603E+04, 3.318E-01, 1.553E+04, 3.982E+00
2008-04-30, 1.379E+04, 2.873E-01, 1.140E+04, 3.854E+00
2008-05-31, 2.046E+05, 1.343E+00, 8.775E+03, 4.729E+00
2008-06-30, 1.320E+05, 1.886E+00, 7.212E+03, 4.793E+00
2008-07-31, 1.038E+05, 1.704E+00, 8.027E+03, 4.475E+00
2008-08-31, 2.342E+05, 2.997E+00, 1.068E+04, 4.888E+00
2008-09-30, 7.662E+04, 1.738E+00, 1.393E+04, 4.199E+00
2008-10-31, 3.885E+04, 4.501E-01, 1.830E+04, 4.338E+00
2008-11-30, 2.390E+04, 6.667E-02, 2.033E+04, 4.198E+00
2008-12-31, 1.601E+04, 3.003E-02, 2.200E+04, 4.338E+00
2009-01-31, 1.786E+04, 2.322E-01, 2.152E+04, 4.338E+00
2009-02-28, 1.676E+04, 3.108E-01, 1.723E+04, 3.918E+00
2009-03-31, 1.042E+04, 1.113E-01, 1.561E+04, 4.338E+00
2009-04-30, 7.052E+03, 5.630E-02, 1.137E+04, 4.198E+00
2009-05-31, 3.138E+04, 4.325E-01, 8.704E+03, 4.345E+00
2009-06-30, 1.339E+05, 1.313E+00, 7.185E+03, 4.627E+00
2009-07-31, 7.931E+04, 1.525E+00, 8.120E+03, 4.471E+00
2009-08-31, 1.554E+05, 2.175E+00, 1.064E+04, 4.620E+00
2009-09-30, 1.246E+05, 2.057E+00, 1.395E+04, 4.230E+00
2009-10-31, 4.091E+04, 6.504E-01, 1.820E+04, 4.340E+00
2009-11-30, 3.116E+04, 3.288E-01, 2.054E+04, 4.200E+00
2009-12-31, 1.705E+04, 9.583E-02, 2.228E+04, 4.340E+00
2010-01-31, 1.329E+04, 1.343E-01, 2.164E+04, 4.340E+00
2010-02-28, 8.083E+03, 9.996E-02, 1.729E+04, 3.920E+00
2010-03-31, 7.050E+03, 4.990E-02, 1.568E+04, 4.340E+00
2010-04-30, 8.632E+03, 1.006E-01, 1.151E+04, 4.200E+00
2010-05-31, 5.811E+04, 8.070E-01, 8.802E+03, 4.385E+00
2010-06-30, 1.254E+05, 1.343E+00, 7.182E+03, 4.417E+00
2010-07-31, 7.470E+04, 1.556E+00, 8.158E+03, 4.540E+00
2010-08-31, 3.550E+04, 6.750E-01, 1.067E+04, 4.361E+00
2010-09-30, 5.321E+04, 6.110E-01, 1.390E+04, 4.200E+00
2010-10-31, 2.063E+04, 2.209E-01, 1.823E+04, 4.340E+00
2010-11-30, 6.151E+04, 6.599E-01, 2.031E+04, 4.205E+00
2010-12-31, 1.131E+04, 1.575E-01, 2.216E+04, 4.340E+00
