Date, basin_cfs, basin_actet, basin_swrad, basin_soil_moist
2000-01-31, 5.094E+04, 3.716E+00, 2.186E+04, 1.696E+00
2000-02-29, 6.248E+04, 6.070E-01, 1.790E+04, 1.587E+00
2000-03-31, 3.945E+04, 1.718E-01, 1.569E+04, 1.696E+00
2000-04-30, 5.304E+04, 4.141E-01, 1.132E+04, 1.644E+00
2000-05-31, 4.492E+04, 6.917E-01, 8.779E+03, 1.721E+00
2000-06-30, 2.879E+05, 1.811E+00, 6.991E+03, 3.092E+00
2000-07-31, 1.477E+05, 2.374E+00, 8.163E+03, 2.200E+00
2000-08-31, 1.111E+05, 1.836E+00, 1.066E+04, 2.149E+00
2000-09-30, 2.025E+05, 2.814E+00, 1.390E+04, 2.157E+00
2000-10-31, 7.782E+04, 1.107E+00, 1.831E+04, 2.028E+00
2000-11-30, 4.412E+04, 5.142E-01, 2.045E+04, 1.960E+00
2000-12-31, 2.175E+04, 6.457E-02, 2.221E+04, 2.025E+00
2001-01-31, 3.039E+04, 2.651E-01, 2.164E+04, 2.025E+00
2001-02-28, 8.866E+03, 2.618E-02, 1.726E+04, 1.829E+00
2001-03-31, 2.551E+04, 3.140E-01, 1.569E+04, 2.025E+00
2001-04-30, 2.768E+04, 4.751E-01, 1.142E+04, 1.970E+00
2001-05-31, 8.604E+04, 1.316E+00, 8.729E+03, 2.092E+00
2001-06-30, 3.791E+04, 6.240E-01, 7.295E+03, 1.994E+00
2001-07-31, 2.419E+05, 2.194E+00, 7.990E+03, 3.166E+00
2001-08-31, 2.124E+05, 2.826E+00, 1.062E+04, 2.575E+00
2001-09-30, 1.143E+05, 2.462E+00, 1.390E+04, 2.295E+00
2001-10-31, 7.275E+04, 8.682E-01, 1.816E+04, 2.278E+00
2001-11-30, 3.445E+04, 3.367E-01, 2.053E+04, 2.204E+00
2001-12-31, 2.052E+04, 8.768E-02, 2.196E+04, 2.277E+00
2002-01-31, 1.951E+04, 2.085E-01, 2.167E+04, 2.277E+00
2002-02-28, 1.144E+04, 1.280E-01, 1.729E+04, 2.057E+00
2002-03-31, 1.359E+04, 1.745E-01, 1.571E+04, 2.277E+00
2002-04-30, 3.380E+04, 4.214E-01, 1.145E+04, 2.204E+00
2002-05-31, 2.226E+05, 1.643E+00, 8.779E+03, 3.362E+00
2002-06-30, 3.119E+05, 2.423E+00, 7.289E+03, 4.071E+00
2002-07-31, 1.864E+05, 1.986E+00, 8.072E+03, 3.444E+00
2002-08-31, 2.106E+05, 2.432E+00, 1.053E+04, 3.147E+00
2002-09-30, 1.050E+05, 2.092E+00, 1.388E+04, 3.001E+00
2002-10-31, 7.466E+04, 8.727E-01, 1.822E+04, 3.008E+00
2002-11-30, 3.570E+04, 2.152E-01, 2.049E+04, 2.933E+00
2002-12-31, 2.586E+04, 1.682E-01, 2.210E+04, 3.031E+00
2003-01-31, 3.337E+04, 2.861E-01, 2.168E+04, 3.031E+00
2003-02-28, 1.057E+04, 7.168E-02, 1.751E+04, 2.738E+00
2003-03-31, 7.198E+03, 3.303E-02, 1.560E+04, 3.031E+00
2003-04-30, 8.484E+03, 9.682E-02, 1.155E+04, 2.933E+00
2003-05-31, 1.166E+05, 1.009E+00, 8.975E+03, 3.513E+00
2003-06-30, 1.245E+05, 1.400E+00, 7.092E+03, 3.408E+00
2003-07-31, 1.174E+05, 1.583E+00, 8.129E+03, 3.410E+00
2003-08-31, 3.170E+04, 3.620E-01, 1.070E+04, 3.140E+00
2003-09-30, 4.603E+04, 7.743E-01, 1.385E+04, 3.041E+00
2003-10-31, 2.093E+04, 1.484E-01, 1.821E+04, 3.139E+00
2003-11-30, 4.070E+04, 4.531E-01, 2.028E+04, 3.037E+00
2003-12-31, 1.015E+04, 1.185E-01, 2.228E+04, 3.139E+00
2004-01-31, 1.057E+04, 1.300E-01, 2.148E+04, 3.139E+00
2004-02-29, 1.058E+04, 1.719E-01, 1.794E+04, 2.936E+00
2004-03-31, 8.447E+03, 2.299E-01, 1.560E+04, 3.139E+00
2004-04-30, 8.303E+04, 8.745E-01, 1.128E+04, 3.061E+00
2004-05-31, 2.753E+04, 4.784E-01, 8.893E+03, 3.163E+00
2004-06-30, 5.593E+04, 8.711E-01, 7.178E+03, 3.080E+00
2004-07-31, 1.085E+05, 1.346E+00, 8.041E+03, 3.225E+00
2004-08-31, 1.343E+05, 1.528E+00, 1.073E+04, 3.438E+00
2004-09-30, 6.219E+04, 1.013E+00, 1.398E+04, 3.054E+00
2004-10-31, 2.967E+04, 3.705E-01, 1.825E+04, 3.139E+00
2004-11-30, 1.051E+05, 1.026E+00, 2.035E+04, 3.414E+00
2004-12-31, 2.115E+04, 2.782E-01, 2.218E+04, 3.722E+00
2005-01-31, 2.147E+04, 3.365E-01, 2.172E+04, 3.722E+00
2005-02-28, 1.400E+04, 8.366E-02, 1.722E+04, 3.362E+00
2005-03-31, 4.278E+04, 4.752E-01, 1.558E+04, 3.722E+00
2005-04-30, 1.944E+04, 2.964E-01, 1.147E+04, 3.602E+00
