Date, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66
2000-01-31,16.7400,16.7400,.0000,.0000,16.7400,16.7400,.0000,.0000,.0000,16.7400,16.7400,.0000,.0000,.0000,.0000,16.7400,16.7400,.0000,.0000,.0000,16.7400,16.7400,.0000,.0000,16.7400,.0000,.0000,.0000,16.7400,.0000,.0000,.0000,16.7400,16.7400,.0000,.0000,.0000,16.7400,16.7400,.0000,.0000,.0000,16.7400,.0000,.0000,.0000,16.7400,.0000,.0000,.0000,16.7400,.0000,.0000,.0000,16.7400,.0000,.0000,.0000,16.7400,.0000,.0000,.0000,16.7400,.0000,.0000,.0000
2000-02-29,15.6600,15.6600,.0000,.0000,15.6600,15.6600,.0000,.0000,.0000,15.6600,15.6600,.0000,.0000,.0000,.0000,15.6600,15.6600,.0000,.0000,.0000,15.6600,15.6600,.0000,.0000,15.6600,.0000,.0000,.0000,15.6600,.0000,.0000,.0000,15.6600,15.6600,.0000,.0000,.0000,15.6600,15.6600,.0000,.0000,.0000,15.6600,.0000,.0000,.0000,15.6600,.0000,.0000,.0000,15.6600,.0000,.0000,.0000,15.6600,.0000,.0000,.0000,15.6600,.0000,.0000,.0000,15.6600,.0000,.0000,.0000
2000-03-31,16.7400,16.7400,.0000,.0000,16.7400,16.7400,.0000,.0000,.0000,16.7400,16.7400,.0000,.0000,.0000,.0000,16.7400,16.7400,.0000,.0000,.0000,16.7400,16.7400,.0000,.0000,16.7400,.0000,.0000,.0000,16.7400,.0000,.0000,.0000,16.7400,16.7400,.0000,.0000,.0000,16.7400,16.7400,.0000,.0000,.0000,16.7400,.0000,.0000,.0000,16.7400,.0000,.0000,.0000,16.7400,.0000,.0000,.0000,16.7400,.0000,.0000,.0000,16.7400,.0000,.0000,.0000,16.7400,.0000,.0000,.0000
2000-04-30,16.2000,16.2000,.0000,.0000,16.2000,16.2000,.0000,.0000,.0000,16.2000,16.6256,.0000,.0000,.0000,.0000,16.2000,16.9109,.0000,.0000,.0000,16.2000,16.2000,.0000,.0000,16.2000,.0000,.0000,.0000,16.2000,.0000,.0000,.0000,16.2000,16.2000,.0000,.0000,.0000,16.2000,16.2000,.0000,.0000,.0000,16.2000,.0000,.0000,.0000,16.2000,.0000,.0000,.0000,16.2000,.0000,.0000,.0000,16.2000,.0000,.0000,.0000,16.2000,.0000,.0000,.0000,16.2000,.0000,.0000,.0000
2000-05-31,16.7704,16.7548,.0000,.0000,16.7590,16.7439,.0000,.0061,.0000,16.7545,16.7400,.0033,.0000,.0032,.0028,16.7708,16.7400,.0208,.0253,.0186,16.8099,16.7841,.0334,.0249,16.7900,.0000,.0317,.0495,16.7400,.0657,.0429,.0458,16.8374,16.7947,.0635,.0443,.0488,17.1968,16.7668,.0413,.0305,.0371,16.7748,.0635,.0317,.0754,16.8400,.0739,.0317,.0420,16.8894,.0887,.0425,.0820,16.9387,.0900,.0379,.0813,16.8661,.1220,.1055,.1257,16.7859,.0395,.0342,.0433
2000-06-30,16.2000,16.2000,3.2840,.0000,16.2137,16.2000,.0004,.0000,.0126,16.2019,16.2000,5.3696,.0000,.0000,7.1778,16.2098,16.2000,9.4005,.0000,17.3626,16.2000,16.2133,13.9352,.0000,42.1018,8.3707,6.4084,4.5724,34.7888,5.4615,3.6135,3.8514,17.9305,16.2000,3.5485,3.4099,3.9251,16.2000,16.2000,2.4761,2.5257,4.7440,33.3514,7.7137,7.2067,9.0761,33.5399,8.2194,6.8237,8.6536,35.4700,10.3029,8.7313,9.9360,34.1125,7.9426,7.6701,9.1187,35.7158,11.5852,10.6565,11.4749,34.0847,8.4211,7.6507,8.8530
2000-07-31,17.4783,16.7400,.5855,.0000,16.7400,16.7400,.0000,.0276,.0145,16.7400,16.7400,1.6569,.0000,.0000,1.0877,16.7400,16.7400,4.5909,.0000,5.3331,21.8909,16.7400,8.2900,.0000,51.1879,1.1433,.4003,.3394,43.9382,.6360,.1930,.2258,29.7903,22.9210,.2859,.2462,.1995,21.7276,16.7400,.1219,.1720,.2747,43.5627,.4269,.3913,.2612,43.5700,.6349,.3765,.5585,43.8291,.4666,.4995,.8486,43.5661,.5404,.2564,.5094,43.6167,.6218,.8196,.7667,43.4796,.3810,.3059,.4108
2000-08-31,17.4813,16.9333,.0000,.0000,18.4678,16.7815,.0000,.0000,.0000,17.1119,16.7400,.0000,.0000,.0000,.0000,21.3366,16.7400,.0083,.0034,.0000,50.5491,21.8859,.0218,.0403,43.4124,.0000,.0000,.0000,43.4000,.0000,.0000,.0000,23.0037,23.8767,.0000,.0000,.0000,17.6018,17.1365,.0000,.0000,.0000,43.4000,.0000,.0000,.0000,43.4000,.0000,.0000,.0000,43.4000,.0000,.0000,.0000,43.4000,.0000,.0000,.0000,43.4000,.0000,.0000,.0000,43.4000,.0000,.0000,.0000
2000-09-30,16.3010,16.2000,.1287,.0000,16.2301,16.2000,.0000,.0000,.0000,16.2000,16.2000,.5106,.0000,.0000,.1122,16.8872,16.2000,.6790,.0000,1.2367,47.3399,17.7898,1.9209,.0000,44.1760,.8504,.8849,.3080,42.0000,.2862,.6849,.6771,24.5444,23.6811,.6081,.6249,.6417,17.2757,16.2000,.1866,.5264,.4105,42.0294,.7670,.5147,1.1538,42.0313,.8107,.5210,.8740,42.1848,1.1055,.7194,.9265,42.1602,1.0059,.8395,.7262,42.0233,1.2000,.9946,1.2563,42.0046,.5312,.9620,.6025
2000-10-31,16.7400,16.7400,.0000,.0000,16.7400,16.7400,.0000,.0000,.0000,16.7400,16.7400,.0000,.0000,.0000,.0000,17.3194,16.7400,.0000,.0000,.0000,43.4000,25.8135,.0000,.0000,43.4000,.0000,.0000,.0000,43.4000,.0000,.0000,.0000,23.0027,23.4061,.0000,.0000,.0000,17.3745,16.7400,.0000,.0000,.0000,43.4000,.0000,.0000,.0000,43.4000,.0000,.0000,.0000,43.4000,.0000,.0000,.0000,43.4000,.0000,.0000,.0000,43.4000,.0000,.0000,.0000,43.4000,.0000,.0000,.0000
