Date, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66
2000-01-31,1.2300,1.2244,1.2465,1.2424,1.2476,1.2442,1.2167,1.2672,1.2709,1.2651,1.2624,1.2495,1.2558,1.2709,1.2709,1.2799,1.2799,1.2771,1.2799,1.2799,1.2861,1.2799,1.2818,1.2861,1.2860,1.2380,1.2237,1.1922,1.2400,1.1989,1.1978,1.1954,1.2285,1.2161,1.2084,1.2045,1.2049,1.3753,1.3254,1.2797,1.2748,1.2499,1.2538,1.2266,1.2567,1.2312,1.3554,1.3658,1.2783,1.2582,1.2086,1.2348,1.2582,1.2414,1.6187,1.4264,1.3123,1.4035,1.2191,1.2147,1.2147,1.2132,1.2643,1.2582,1.2562,1.2681
2000-02-29,.1589,.1603,.1324,.1362,.1538,.1441,.1413,.1439,.1447,.1667,.1563,.1346,.1304,.1520,.1366,.1717,.1613,.1465,.1549,.1405,.1720,.1599,.1517,.1629,.1579,.1158,.1065,.0969,.1270,.1018,.0953,.0953,.1296,.1188,.1031,.0967,.0979,.2018,.1907,.1315,.1220,.1100,.1176,.1116,.1199,.1230,.1590,.1580,.1212,.1166,.1249,.1279,.1268,.1258,.3120,.1921,.1368,.1803,.1168,.1208,.1112,.1241,.1250,.1197,.1163,.1255
2000-03-31,.0921,.0841,.0610,.0693,.0866,.0713,.0792,.0661,.0672,.0924,.0756,.0643,.0378,.0738,.0646,.0996,.0780,.0714,.0800,.0631,.1025,.0811,.0805,.0898,.0754,.0323,.0254,.0239,.0537,.0354,.0180,.0218,.0708,.0564,.0315,.0179,.0211,.1134,.0971,.0476,.0292,.0182,.0201,.0194,.0208,.0236,.0328,.0308,.0200,.0194,.0252,.0253,.0235,.0242,.0887,.0418,.0243,.0379,.0213,.0232,.0195,.0246,.0222,.0206,.0193,.0223
2000-04-30,.1030,.0777,.0788,.0847,.0976,.0728,.0875,.0744,.0755,.1182,.0516,.0918,.0147,.0951,.0912,.1264,.0759,.0950,.1060,.0836,.1528,.1097,.1155,.1357,.1217,.0575,.0372,.0316,.0808,.0523,.0162,.0249,.1111,.0808,.0509,.0164,.0256,.1187,.0822,.0760,.0379,.0478,.0404,.0562,.0416,.0773,.0854,.0564,.0285,.0544,.1334,.0997,.0704,.0861,.1315,.0714,.0360,.0666,.0619,.0846,.0539,.1057,.0480,.0492,.0376,.0648
2000-05-31,.0881,.0627,.1234,.1389,.0849,.0608,.0770,.1083,.1243,.1090,.0294,.1326,.0053,.1382,.1252,.1208,.0554,.1345,.1538,.1109,.1615,.1055,.1707,.1970,.1613,.0781,.0579,.0499,.1164,.0762,.0345,.0421,.1411,.0698,.0811,.0375,.0468,.1138,.0569,.1232,.0684,.0752,.0654,.0754,.0622,.1006,.1296,.0904,.0559,.0880,.1653,.1288,.0987,.1149,.1724,.1076,.0706,.1023,.0960,.1146,.0834,.1342,.0853,.0785,.0643,.0959
2000-06-30,.0719,.0410,.5572,.1202,.0538,.0287,.0546,.0962,.1345,.0692,.0116,.7451,.0022,.1216,.7844,.0816,.0230,.5975,.1384,.7579,.1174,.0689,.6922,.1710,1.0601,.7299,.6013,.5488,.9586,.6290,.4969,.5133,.1462,.0601,.5381,.4789,.4993,.0873,.0363,.5581,.5053,.7775,.9795,.9559,.9500,1.1253,1.1678,.9662,.8728,1.0858,1.3647,1.2520,1.1354,1.1960,1.1749,1.0309,.9496,1.0281,1.2634,1.2623,1.1592,1.2789,1.1216,1.0547,.9574,1.1173
2000-07-31,.0651,.0233,1.2876,.2164,.0298,.0156,.0313,.3723,.3360,.0386,.0063,1.5999,.0012,.2038,1.5966,.0459,.0125,1.5186,.2019,1.6824,.1367,.0387,1.8302,.2945,2.2020,1.3041,1.1178,1.0393,1.6644,1.2018,.9062,.9499,.4942,.1442,1.0199,.8617,.9062,.2660,.0199,1.0464,.8988,1.1316,1.2444,1.2649,1.1940,1.5163,1.7029,1.3096,1.1490,1.4384,1.8614,1.6812,1.4495,1.5664,1.6861,1.3323,1.1762,1.3130,1.6483,1.6382,1.4387,1.6770,1.4511,1.2825,1.1582,1.3890
2000-08-31,.7031,.1053,.5932,1.3280,.4229,.0852,.1938,.8424,1.4093,.2853,.0033,.6875,.0006,1.4091,.6300,.2843,.0066,.9471,1.5032,.7864,1.4802,.1644,1.1970,1.6303,1.0976,.6424,.5225,.4648,.7287,.5330,.4047,.4182,.8827,.6261,.4553,.3835,.4016,.7741,.1913,.4672,.4010,.4925,.4541,.5200,.4633,.5915,.6839,.5565,.4457,.5571,.6940,.6391,.5380,.5884,.7697,.5656,.4450,.5376,.5542,.5941,.5111,.6238,.4915,.4822,.4424,.5124
2000-09-30,.4562,.1342,.5004,1.4262,.3784,.1256,.2439,.5002,1.2858,.3229,.0022,.6298,.0003,1.5355,.6274,.3355,.0033,.7211,1.7132,.7161,1.4761,.2102,.9150,1.7911,1.1371,.6932,.5951,.5325,.8445,.5778,.4913,.4972,.5152,.3807,.5422,.4841,.4987,.4710,.1945,.5798,.5263,.6212,.6955,.6209,.5579,.6774,.9605,.6696,.5616,.6568,.9592,.7134,.6168,.6651,1.0661,.6706,.5364,.6381,.7540,.6472,.5571,.6890,.7009,.5618,.5302,.5952
2000-10-31,.2079,.1254,.2141,.6765,.2024,.1606,.2135,.2168,.5275,.3585,.1358,.2605,.0001,.8705,.2459,.8659,.2412,.3125,1.0289,.2955,.8345,.7414,.3927,1.3093,.4234,.3131,.2790,.2450,.3283,.2557,.2408,.2365,.2733,.2006,.2587,.2434,.2476,.2690,.1409,.2879,.2751,.3161,.2659,.2941,.2578,.3078,.3850,.3377,.2671,.3015,.3565,.3164,.2737,.2960,.4919,.3331,.2382,.3118,.2600,.2820,.2390,.3042,.2472,.2552,.2440,.2668
2000-11-30,.0840,.0425,.0634,.1464,.0687,.0476,.0751,.0584,.1067,.1166,.0623,.0724,.0000,.1749,.0554,.2484,.2056,.0799,.2223,.0692,.2234,.2441,.1085,.3073,.1540,.1066,.0947,.0734,.1096,.0722,.0758,.0696,.1301,.0953,.0951,.0824,.0839,.1049,.0439,.1179,.1027,.1071,.0912,.1078,.0858,.1093,.1226,.1083,.0788,.0875,.1437,.1113,.0871,.1010,.1962,.1098,.0617,.0951,.0840,.1005,.0756,.1170,.0685,.0749,.0740,.0776
