Date, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66
2000-01-31,.7283,.7370,.7247,.7245,.7252,.7244,.7194,.7284,.7292,.7278,.7272,.7248,.7257,.7291,.7291,.7307,.7307,.7301,.7307,.7307,.7320,.7307,.7311,.7320,.7321,.7228,.7197,.7132,.7232,.7146,.7144,.7139,.7237,.7203,.7175,.7159,.7161,.7615,.7636,.7335,.7313,.7257,.7261,.7205,.7268,.7213,.7469,.7490,.7313,.7271,.7163,.7220,.7271,.7234,.7978,.7608,.7379,.7563,.7186,.7176,.7176,.7174,.7280,.7269,.7265,.7290
2000-02-29,1.1731,.8545,.9268,.9992,1.1599,.7791,1.1034,.9655,.9660,1.2658,.8158,.9247,.7591,1.0671,.8973,1.2730,.8179,.9509,1.0449,.8623,1.2481,.8067,1.0175,1.1319,1.0397,.6893,.6229,.6237,.8474,.6866,.5692,.5940,.9673,.6985,.6802,.5677,.5937,1.1238,.8657,.7649,.6346,.5706,.6090,.6307,.6230,.7104,.6512,.6180,.5818,.5913,.7715,.7409,.6793,.7067,.8279,.6822,.6009,.6708,.6823,.7255,.6416,.7581,.6303,.6105,.5873,.6348
2000-03-31,.5259,.4957,.4563,.4546,.5115,.4673,.4775,.4888,.4989,.5153,.4647,.5153,.4223,.5054,.5517,.5520,.4699,.5385,.5416,.5263,.6242,.4939,.5839,.5950,.5413,.4182,.4089,.3972,.4879,.4269,.3964,.4002,.4834,.4426,.4065,.3981,.4004,.5706,.5216,.4356,.4233,.4062,.4092,.4024,.4106,.4077,.4465,.4448,.4136,.4095,.4048,.4104,.4138,.4106,.5532,.4693,.4266,.4605,.4031,.4041,.4001,.4052,.4141,.4108,.4090,.4149
2000-04-30,.8073,.4498,.6820,.7180,.8101,.4495,.7357,.6673,.6750,.9333,.3814,.7480,.2924,.7875,.7425,.9646,.4537,.7667,.8384,.6923,1.1184,.5442,.8831,1.0217,.9567,.5766,.4393,.3949,.6832,.5086,.2920,.3448,.8800,.4579,.5101,.2920,.3493,.8744,.4666,.6809,.4339,.5198,.4670,.5799,.4838,.7172,.7598,.5695,.3893,.5636,1.1013,.8704,.6738,.7750,.9940,.6608,.4366,.6331,.6138,.7640,.5568,.9156,.5171,.5246,.4460,.6323
2000-05-31,.4308,.2703,.7742,.8615,.4071,.2523,.3703,.6727,.8263,.4912,.2077,.7950,.1746,.8634,.7702,.5553,.2401,.8154,.9195,.6794,.7520,.3579,.9852,1.1266,.9150,.5200,.4427,.3906,.7275,.5115,.3463,.3672,.8161,.2873,.5447,.3692,.4026,.5589,.2683,.7558,.5169,.5464,.5084,.4988,.4656,.6024,.8267,.6411,.4837,.6277,.8437,.7231,.6310,.6770,.9678,.7212,.5748,.6992,.6585,.6794,.5736,.7262,.6306,.5675,.5022,.6386
2000-06-30,.2198,.1610,4.1638,.2162,.1734,.1503,.1763,.2517,.3571,.1948,.1299,6.1901,.1075,.2435,7.7098,.2070,.1463,4.3718,.2681,7.2188,.3017,.1907,5.0916,.2937,6.0398,6.1370,5.4607,5.1185,6.8897,5.7841,4.5828,4.7608,.3366,.1731,4.8918,4.3681,4.5513,.2154,.1628,4.8976,4.4737,6.0614,6.8017,6.8939,6.8509,8.1167,8.4731,7.0694,6.5389,7.9717,9.5551,9.0675,8.0956,8.5778,8.0273,7.2907,6.8229,7.2594,8.8545,9.0350,8.0963,9.1436,7.9164,7.3756,6.7484,7.8796
2000-07-31,.8587,.1102,3.3262,2.3428,.1223,.1021,.1186,3.1387,2.9592,.1378,.0877,3.2511,.0706,2.3081,2.2282,.1477,.1012,4.6421,2.2856,2.2177,1.7629,.1354,5.5570,3.0248,4.5320,1.7110,1.4274,1.3702,2.2122,1.6383,1.1368,1.1921,3.6568,.7359,1.4473,1.0934,1.1605,2.6151,.1123,1.6334,1.2506,1.3153,1.0733,1.2687,1.0604,1.3942,1.7048,1.2825,.9822,1.2798,1.6564,1.4897,1.2627,1.3685,1.7063,1.2636,1.0334,1.2211,1.2696,1.2777,1.0528,1.3781,1.1364,1.0618,.9647,1.1617
2000-08-31,3.2490,.3654,.7379,5.4540,2.6105,.3269,1.3788,1.9327,5.4117,1.8797,.0565,.9464,.0445,5.9144,.8933,1.7387,.0667,.9010,6.3817,.9001,5.3739,.4939,1.3394,6.1464,1.7684,1.1376,.9428,.7587,1.2920,.8163,.7143,.6757,1.8541,.9897,.8093,.7227,.7476,1.8015,.5774,.9175,.8454,1.1069,.7382,.9671,.7167,1.0293,1.3639,.9525,.6965,.9492,1.4228,1.1114,.8602,.9797,1.5825,.9393,.6973,.8354,.9248,.9748,.8270,1.0781,.8216,.7830,.7047,.8273
2000-09-30,1.0963,.3116,2.6865,4.6417,.8821,.3247,.9282,2.0074,4.0806,1.2594,.0494,3.3763,.0273,5.3736,3.5824,2.1169,.0423,3.4521,5.8970,3.5463,4.7580,.7114,4.0612,6.8521,4.2591,3.3665,3.0312,2.8383,3.6685,3.0648,2.6358,2.6946,1.9726,.6954,2.9348,2.6156,2.6903,1.8116,.3605,3.1831,2.8827,3.3723,3.3461,3.3976,3.2407,3.7245,4.2376,3.6532,3.2746,3.7686,4.2721,3.9419,3.5512,3.7392,4.3026,3.6192,3.1241,3.5408,3.4690,3.6080,3.1465,3.7821,3.3259,3.2459,3.0762,3.4597
2000-10-31,.3740,.1592,.5450,.9901,.3164,.2298,.3163,.4474,.8778,.9114,.4416,.6651,.0179,1.2911,.6484,2.9783,.9622,.7333,1.5524,.7235,1.3311,1.4165,.9102,2.4419,1.3060,.9769,.9246,.7585,1.0513,.7266,.8336,.7608,.7251,.3996,.8313,.8775,.8727,.4911,.1854,.9383,1.0131,1.1787,.9390,1.0194,.8590,1.0283,1.2245,1.0181,.8409,.9574,1.2999,1.0442,.8831,.9684,1.2861,.8875,.6681,.8355,.9371,.9644,.8043,1.0601,.8109,.8230,.8020,.8331
