HRU,SC,ORDEN,OBS,SEG,ESTAC
1,1,2,5,1,Rio Pedernal en Tejada
2,1,2,5,1,Rio Pedernal en Tejada
3,2,3,11,2,Rio Sobrante en Pinhadero
4,2,3,11,2,Rio Sobrante en Pinhadero
5,3,4,2,4,Rio Alicahue en Colliguay
6,3,4,2,4,Rio Alicahue en Colliguay
7,4,1,6,5,Rio Putaendo en Rgdo. Los Patos
8,4,1,6,5,Rio Putaendo en Rgdo. Los Patos
9,5,11,1,6,Rio Aconcagua en Chacabuquito
10,5,11,1,6,Rio Aconcagua en Chacabuquito
11,6,5,4,12,Estero Pocuro en El Sifon
12,6,5,4,12,Estero Pocuro en El Sifon
13,7,6,3,7,Canal Colorado en Bocatoma
14,7,6,3,7,Canal Colorado en Bocatoma
15,7,6,3,7,Canal Colorado en Bocatoma
16,8,10,7,8,Rio Aconcagua en Rio Blanco
17,8,10,7,8,Rio Aconcagua en Rio Blanco
18,8,10,7,8,Rio Aconcagua en Rio Blanco
19,9,9,9,9,Rio Blanco en Rio Blanco
20,9,9,9,9,Rio Blanco en Rio Blanco
21,9,9,9,9,Rio Blanco en Rio Blanco
22,10,8,8,10,Rio Blanco antes junta Los Leones
23,10,8,8,10,Rio Blanco antes junta Los Leones
24,10,8,8,10,Rio Blanco antes junta Los Leones
25,11,7,10,11,Rio Juncal en Juncal
26,11,7,10,11,Rio Juncal en Juncal
27,11,7,10,11,Rio Juncal en Juncal
